Sector,Subsector,Round 1 Measure,Round 2 Measure,randomizer,coins,score,cutscene
1,1B,r1 1b lr 1.15,None,2,0,85,R2-1B-6
1,1B,r1 1b lr 2,None,1,0,0,R2-1B-6
1,1B,r1 1b lr 2,None,2,0,0,R2-1B-6
1,1B,r1 1b lr 0.5,r1 1b lr ug sw 1.15,1,2,0,R2-1B-6
1,1B,r1 1b lr 0.5,r1 1b lr ug sw 1.15,2,2,35,R2-1B-6
1,1B,r1 1b lr 0.5,r1 1b lr ug sw 2,1,3,0,R2-1B-6
1,1B,r1 1b lr 0.5,r1 1b lr ug sw 2,2,3,0,R2-1B-6
1,1B,r1 1b lr 1.15,r1 1b lr ug sw 1.15,1,3,0,R2-1B-6
1,1B,r1 1b lr 1.15,r1 1b lr ug sw 1.15,2,3,0,R2-1B-6
1,1B,r1 1b lr 1.15,r1 1b lr ug sw 2,1,2,0,R2-1B-6
1,1B,r1 1b lr 1.15,r1 1b lr ug sw 2,2,2,0,R2-1B-6
1,1B,r1 1b lr 1.15,r1 1b lr ug sw 3,1,4,0,R2-1B-6
1,1B,r1 1b lr 1.15,r1 1b lr ug sw 3,2,4,0,R2-1B-6
1,1B,r1 1b lr 2,r1 1b lr ug sw 1.15,1,2,0,R2-1B-6
1,1B,r1 1b lr 2,r1 1b lr ug sw 1.15,2,2,0,R2-1B-6
1,1B,r1 1b lr 2,r1 1b lr ug sw 2,1,3,0,R2-1B-6
1,1B,r1 1b lr 2,r1 1b lr ug sw 2,2,3,0,R2-1B-6
1,1B,r1 1b lr 2,r1 1b lr ug sw 3,1,4,0,R2-1B-6
1,1B,r1 1b lr 2,r1 1b lr ug sw 3,2,4,0,R2-1B-6
1,1B,r1 1b lr ug sw 1.15,r1 1b lr ug sw 2,1,3,0,R2-1B-6
1,1B,r1 1b lr ug sw 1.15,r1 1b lr ug sw 2,2,3,0,R2-1B-6
1,1B,None,r1 1b lr ug sw 3,1,4,0,R2-1B-6
1,1B,None,r1 1b lr ug sw 3,2,4,0,R2-1B-6
1,1B,r1 1b lr ug sw 2,r1 1b lr ug sw 3,1,4,0,R2-1B-7
1,1B,r1 1b lr ug sw 2,r1 1b lr ug sw 3,2,4,0,R2-1B-7
1,1B,r1 1b mg,None,1,0,115,R2-1B-3
1,1B,r1 1b mg,None,2,0,200,R2-1B-3
1,1B,r1 1b mg,r1 1b mg ug bw,1,1,115,R2-1B-8
1,1B,r1 1b mg,r1 1b mg ug bw,2,1,200,R2-1B-8
2,2A,None,None,1,0,115,R2-2A-0
2,2A,None,None,2,0,200,R2-2A-0
2,2A,None,r1 2a mg,1,0,115,R2-2A-1
2,2A,None,r1 2a mg,2,0,200,R2-2A-1
2,2A,None,r1 2a lr 0.5,1,3,65,R2-2A-2
2,2A,None,r1 2a lr 0.5,2,3,150,R2-2A-2
2,2A,None,r1 2a lr 2,1,5,0,R2-2A-3
2,2A,None,r1 2a lr 2,2,5,0,R2-2A-3
2,2A,None,r1 2a sw 0.5,1,1,65,R2-2A-4
2,2A,None,r1 2a sw 0.5,2,1,150,R2-2A-4
2,2A,None,r1 2a sw 1.15,1,2,0,R2-2A-5
2,2A,None,r1 2a sw 1.15,2,2,85,R2-2A-4
2,2A,None,r1 2a sw 2,1,3,0,R2-2A-5
2,2A,None,r1 2a sw 2,2,3,0,R2-2A-5
2,2A,r1 2a lr 0.5,None,1,0,65,R2-2A-2
2,2A,r1 2a lr 0.5,None,2,0,150,R2-2A-2
2,2A,r1 2a lr 2,None,1,0,0,R2-2A-3
2,2A,r1 2a lr 2,None,2,0,0,R2-2A-3
2,2A,r1 2a sw 0.5,None,1,0,65,R2-2A-4
2,2A,r1 2a sw 0.5,None,2,0,150,R2-2A-4
2,2A,r1 2a sw 0.5,r1 2a sw 1.15,1,1,0,R2-2A-5
2,2A,r1 2a sw 0.5,r1 2a sw 1.15,2,1,85,R2-2A-4
2,2A,r1 2a sw 0.5,r1 2a sw 2,1,2,0,R2-2A-5
2,2A,r1 2a sw 0.5,r1 2a sw 2,2,2,0,R2-2A-5
2,2A,r1 2a sw 0.5,r1 2a sw ug wp,1,1,65,R2-2A-6
2,2A,r1 2a sw 0.5,r1 2a sw ug wp,2,1,150,R2-2A-6
2,2A,r1 2a sw 1.15,None,1,0,0,R2-2A-5
2,2A,r1 2a sw 1.15,None,2,0,85,R2-2A-4
2,2A,r1 2a sw 1.15,r1 2a sw 2,1,1,0,R2-2A-5
2,2A,r1 2a sw 1.15,r1 2a sw 2,2,1,0,R2-2A-5
2,2A,r1 2a sw 1.15,r1 2a sw ug wp,1,1,0,R2-2A-7
2,2A,r1 2a sw 1.15,r1 2a sw ug wp,2,1,85,R2-2A-6
2,2A,r1 2a sw 2,None,1,0,0,R2-2A-5
2,2A,r1 2a sw 2,None,2,0,0,R2-2A-5
2,2A,r1 2a sw 2,r1 2a sw ug wp,1,1,0,R2-2A-7
2,2A,r1 2a sw 2,r1 2a sw ug wp,2,1,0,R2-2A-7
2,2A,r1 2a mg,None,1,0,115,R2-2A-8
2,2A,r1 2a mg,None,2,0,200,R2-2A-4
2,2A,r1 2a mg,r1 2a mg ug bw,1,1,115,R2-2A-4
2,2A,r1 2a mg,r1 2a mg ug bw,2,1,200,R2-2A-4
2,2B,None,None,1,0,115,R2-2B-0
2,2B,None,None,2,0,200,R2-2B-0
2,2B,None,r1 2b mg,1,0,115,R2-2B-1
2,2B,None,r1 2b mg,2,0,200,R2-2B-1
2,2B,None,r1 2b lr 0.5,1,3,65,R2-2B-0
2,2B,None,r1 2b lr 0.5,2,3,150,R2-2B-0
2,2B,None,r1 2b lr 2,1,5,0,R2-2B-2
2,2B,None,r1 2b lr 2,2,5,0,R2-2B-2
2,2B,None,r1 2b sw 0.5,1,1,65,R2-2B-3
2,2B,None,r1 2b sw 0.5,2,1,150,R2-2B-3
2,2B,None,r1 2b sw 1.15,1,2,0,R2-2B-3
2,2B,None,r1 2b sw 1.15,2,2,85,R2-2B-3
2,2B,None,r1 2b sw 2,1,3,0,R2-2B-3
2,2B,None,r1 2b sw 2,2,3,0,R2-2B-3
2,2B,r1 2b lr 0.5,None,1,0,65,R2-2B-4
2,2B,r1 2b lr 0.5,None,2,0,150,R2-2B-4
2,2B,r1 2b lr 2,None,1,0,0,R2-2B-2
2,2B,r1 2b lr 2,None,2,0,0,R2-2B-2
2,2B,r1 2b sw 0.5,None,1,0,65,R2-2B-3
2,2B,r1 2b sw 0.5,None,2,0,150,R2-2B-3
2,2B,r1 2b sw 0.5,r1 2b sw 1.15,1,1,0,R2-2B-3
2,2B,r1 2b sw 0.5,r1 2b sw 1.15,2,1,85,R2-2B-3
2,2B,r1 2b sw 0.5,r1 2b sw 2,1,2,0,R2-2B-3
2,2B,r1 2b sw 0.5,r1 2b sw 2,2,2,0,R2-2B-3
2,2B,r1 2b sw 0.5,r1 2b sw ug wp,1,1,65,R2-2B-5
2,2B,r1 2b sw 0.5,r1 2b sw ug wp,2,1,150,R2-2B-5
2,2B,r1 2b sw 1.15,None,1,0,0,R2-2B-3
2,2B,r1 2b sw 1.15,None,2,0,85,R2-2B-3
2,2B,r1 2b sw 1.15,r1 2b sw 2,1,1,0,R2-2B-3
2,2B,r1 2b sw 1.15,r1 2b sw 2,2,1,0,R2-2B-3
2,2B,r1 2b sw 1.15,r1 2b sw ug wp,1,1,10,R2-2B-6
2,2B,r1 2b sw 1.15,r1 2b sw ug wp,2,1,85,R2-2B-5
2,2B,r1 2b sw 2,None,1,0,0,R2-2B-3
2,2B,r1 2b sw 2,None,2,0,0,R2-2B-3
2,2B,r1 2b sw 2,r1 2b sw ug wp,1,1,10,R2-2B-6
2,2B,r1 2b sw 2,r1 2b sw ug wp,2,1,10,R2-2B-6
2,2B,r1 2b mg,None,1,0,115,R2-2B-1
2,2B,r1 2b mg,None,2,0,200,R2-2B-1
2,2B,r1 2b mg,r1 2b mg ug bw,1,1,115,R2-2B-7
2,2B,r1 2b mg,r1 2b mg ug bw,2,1,200,R2-2B-7
3,3A,None,None,1,0,115,R2-3A-0
3,3A,None,None,2,0,200,R2-3A-0
3,3A,None,r1 3a mg,1,1,115,R2-3A-1
3,3A,None,r1 3a mg,2,1,200,R2-3A-1
3,3A,None,r1 3a sw 0.5,1,1,65,R2-3A-0
3,3A,None,r1 3a sw 0.5,2,1,150,R2-3A-0
3,3A,None,r1 3a sw 1.15,1,2,0,R2-3A-2
3,3A,None,r1 3a sw 1.15,2,2,85,R2-3A-3
3,3A,None,r1 3a sw 2,1,3,0,R2-3A-3
3,3A,None,r1 3a sw 2,2,3,0,R2-3A-3
3,3A,None,r1 3a hb 0.5,1,1,45,R2-3A-4
3,3A,None,r1 3a hb 0.5,2,1,130,R2-3A-4
3,3A,None,r1 3a hb 1.15,1,2,0,R2-3A-4
3,3A,None,r1 3a hb 1.15,2,2,65,R2-3A-4
3,3A,None,r1 3a hb 2,1,3,0,R2-3A-4
3,3A,None,r1 3a hb 2,2,3,0,R2-3A-4
3,3A,None,r1 3a hb ug wp,1,1,0,R2-3A-4
3,3A,None,r1 3a hb ug wp,2,1,65,R2-3A-4
3,3A,None,r1 3a ar ug sr 1.15,1,1,0,R2-3A-5
3,3A,None,r1 3a ar ug sr 1.15,2,1,65,R2-3A-5
3,3A,None,r1 3a ar ug sr 2,1,2,0,R2-3A-5
3,3A,None,r1 3a ar ug sr 2,2,2,0,R2-3A-5
3,3A,None,r1 3a sw ug wp,1,1,65,R2-3A-7
3,3A,None,r1 3a sw ug wp,2,1,150,R2-3A-7
3,3A,r1 3a mg,None,1,0,115,R2-3A-1
3,3A,r1 3a mg,None,2,0,200,R2-3A-1
3,3A,r1 3a mg,r1 3a ar ug sr 1.15,1,1,0,R2-3A-5
3,3A,r1 3a mg,r1 3a ar ug sr 1.15,2,1,65,R2-3A-5
3,3A,r1 3a mg,r1 3a ar ug sr 2,1,2,0,R2-3A-5
3,3A,r1 3a mg,r1 3a ar ug sr 2,2,2,0,R2-3A-5
3,3A,r1 3a ar ug sr 1.15,r1 3a ar ug sr 2,1,2,0,R2-3A-5
3,3A,r1 3a ar ug sr 1.15,r1 3a ar ug sr 2,2,2,0,R2-3A-5
3,3A,r1 3a hb 0.5,None,1,0,45,R2-3A-4
3,3A,r1 3a hb 0.5,None,2,0,130,R2-3A-4
3,3A,r1 3a hb 0.5,r1 3a ar ug sr 1.15,1,1,0,R2-3A-4
3,3A,r1 3a hb 0.5,r1 3a ar ug sr 1.15,2,1,65,R2-3A-4
3,3A,r1 3a hb 0.5,r1 3a ar ug sr 2,1,2,0,R2-3A-4
3,3A,r1 3a hb 0.5,r1 3a ar ug sr 2,2,2,0,R2-3A-4
3,3A,r1 3a hb 0.5,r1 3a hb ug wp,1,1,45,R2-3A-4
3,3A,r1 3a hb 0.5,r1 3a hb ug wp,2,1,130,R2-3A-6
3,3A,r1 3a hb 0.5,r1 3a hb 1.15,1,1,0,R2-3A-4
3,3A,r1 3a hb 0.5,r1 3a hb 1.15,2,1,65,R2-3A-4
3,3A,r1 3a hb 1.15,None,1,0,20,R2-3A-4
3,3A,r1 3a hb 1.15,None,2,0,65,R2-3A-4
3,3A,r1 3a hb 1.15,r1 3a ar ug sr 2,1,1,0,R2-3A-4
3,3A,r1 3a hb 1.15,r1 3a ar ug sr 2,2,1,0,R2-3A-4
3,3A,r1 3a hb 1.15,r1 3a hb 2,1,1,0,R2-3A-4
3,3A,r1 3a hb 1.15,r1 3a hb 2,2,1,0,R2-3A-4
3,3A,r1 3a hb 0.5,r1 3a hb 2,1,1,0,R2-3A-4
3,3A,r1 3a hb 0.5,r1 3a hb 2,2,1,0,R2-3A-4
3,3A,r1 3a hb 1.15,r1 3a hb ug wp,1,1,0,R2-3A-4
3,3A,r1 3a hb 1.15,r1 3a hb ug wp,2,1,65,R2-3A-4
3,3A,r1 3a hb 2,None,1,0,0,R2-3A-4
3,3A,r1 3a hb 2,None,2,0,0,R2-3A-4
3,3A,r1 3a hb 2,r1 3a hb ug wp,1,1,0,R2-3A-4
3,3A,r1 3a hb 2,r1 3a hb ug wp,2,1,0,R2-3A-4
3,3A,r1 3a sw 0.5,None,1,0,65,R2-3A-0
3,3A,r1 3a sw 0.5,None,2,0,150,R2-3A-0
3,3A,r1 3a sw 0.5,r1 3a sw 1.15,1,1,0,R2-3A-2
3,3A,r1 3a sw 0.5,r1 3a sw 1.15,2,1,85,R2-3A-0
3,3A,r1 3a sw 0.5,r1 3a sw 2,1,2,0,R2-3A-7
3,3A,r1 3a sw 0.5,r1 3a sw 2,2,2,0,R2-3A-7
3,3A,r1 3a sw 0.5,r1 3a sw ug wp,1,1,65,R2-3A-7
3,3A,r1 3a sw 0.5,r1 3a sw ug wp,2,1,150,R2-3A-7
3,3A,r1 3a sw 1.15,None,1,0,0,R2-3A-7
3,3A,r1 3a sw 1.15,None,2,0,85,R2-3A-7
3,3A,r1 3a sw 1.15,r1 3a sw 2,1,1,0,R2-3A-7
3,3A,r1 3a sw 1.15,r1 3a sw 2,2,1,0,R2-3A-7
3,3A,r1 3a sw 1.15,r1 3a sw ug wp,1,1,0,R2-3A-7
3,3A,r1 3a sw 1.15,r1 3a sw ug wp,2,1,85,R2-3A-7
3,3A,r1 3a sw 2,None,1,0,0,R2-3A-7
3,3A,r1 3a sw 2,None,2,0,0,R2-3A-7
3,3A,r1 3a sw 2,r1 3a sw ug wp,1,1,0,R2-3A-7
3,3A,r1 3a sw 2,r1 3a sw ug wp,2,1,0,R2-3A-7
3,3B,None,None,1,0,115,R2-3B-0
3,3B,None,None,2,0,200,R2-3B-0
3,3B,None,r1 3b mg,1,1,115,R2-3B-1
3,3B,None,r1 3b mg,2,1,200,R2-3B-1
3,3B,None,r1 3b sw 0.5,1,1,65,R2-3B-0
3,3B,None,r1 3b sw 0.5,2,1,150,R2-3B-0
3,3B,None,r1 3b sw 1.15,1,2,0,R2-3B-2
3,3B,None,r1 3b sw 1.15,2,2,85,R2-3B-0
3,3B,None,r1 3b sw 2,1,3,0,R2-3B-2
3,3B,None,r1 3b sw 2,2,3,0,R2-3B-2
3,3B,None,r1 3b hb 0.5,1,1,45,R2-3B-2
3,3B,None,r1 3b hb 0.5,2,1,130,R2-3B-0
3,3B,None,r1 3b hb 1.15,1,2,0,R2-3B-2
3,3B,None,r1 3b hb 1.15,2,2,65,R2-3B-0
3,3B,None,r1 3b hb 2,1,3,0,R2-3B-2
3,3B,None,r1 3b hb 2,2,3,0,R2-3B-2
3,3B,None,r1 3b hb ug wp,1,1,0,R2-3B-5
3,3B,None,r1 3b hb ug wp,2,1,65,R2-3B-6
3,3B,None,r1 3b ar ug sr 1.15,1,1,0,R2-3B-3
3,3B,None,r1 3b ar ug sr 1.15,2,1,65,R2-3B-4
3,3B,None,r1 3b ar ug sr 2,1,2,0,R2-3B-3
3,3B,None,r1 3b ar ug sr 2,2,2,0,R2-3B-3
3,3B,None,r1 3b sw ug wp,1,1,65,R2-3B-7
3,3B,None,r1 3b sw ug wp,2,1,150,R2-3B-7
3,3B,r1 3b mg,None,1,0,115,R2-3B-1
3,3B,r1 3b mg,None,2,0,200,R2-3B-1
3,3B,r1 3b mg,r1 3b ar ug sr 1.15,1,1,0,R2-3B-3
3,3B,r1 3b mg,r1 3b ar ug sr 1.15,2,1,65,R2-3B-3
3,3B,r1 3b mg,r1 3b ar ug sr 2,1,2,0,R2-3B-3
3,3B,r1 3b mg,r1 3b ar ug sr 2,2,2,0,R2-3B-3
3,3B,r1 3b hb 0.5,None,1,0,45,R2-3B-3
3,3B,r1 3b hb 0.5,None,2,0,130,R2-3B-4
3,3B,r1 3b hb 0.5,r1 3b ar ug sr 1.15,1,1,0,R2-3B-3
3,3B,r1 3b hb 0.5,r1 3b ar ug sr 1.15,2,1,65,R2-3B-4
3,3B,r1 3b hb 0.5,r1 3b ar ug sr 2,1,2,0,R2-3B-3
3,3B,r1 3b hb 0.5,r1 3b ar ug sr 2,2,2,0,R2-3B-3
3,3B,r1 3b hb 0.5,r1 3b hb ug wp,1,1,45,R2-3B-5
3,3B,r1 3b hb 0.5,r1 3b hb ug wp,2,1,130,R2-3B-6
3,3B,r1 3b hb 0.5,r1 3b hb 1.15,1,1,0,R2-3B-3
3,3B,r1 3b hb 0.5,r1 3b hb 1.15,2,1,65,R2-3B-4
3,3B,r1 3b hb 1.15,None,1,0,0,R2-3B-3
3,3B,r1 3b hb 1.15,None,2,0,65,R2-3B-4
3,3B,r1 3b hb 1.15,r1 3b ar ug sr 2,1,1,0,R2-3B-3
3,3B,r1 3b hb 1.15,r1 3b ar ug sr 2,2,1,0,R2-3B-3
3,3B,r1 3b hb 1.15,r1 3b hb ug wp,1,1,0,R2-3B-5
3,3B,r1 3b hb 1.15,r1 3b hb ug wp,2,1,65,R2-3B-6
3,3B,r1 3b hb 1.15,r1 3b hb 2,1,1,0,R2-3B-3
3,3B,r1 3b hb 1.15,r1 3b hb 2,2,1,0,R2-3B-3
3,3B,r1 3b hb 0.5,r1 3b hb 2,1,1,0,R2-3B-3
3,3B,r1 3b hb 0.5,r1 3b hb 2,2,1,0,R2-3B-3
3,3B,r1 3b hb 2,None,1,0,0,R2-3B-3
3,3B,r1 3b hb 2,None,2,0,0,R2-3B-3
3,3B,r1 3b hb 2,r1 3b hb ug wp,1,1,0,R2-3B-5
3,3B,r1 3b hb 2,r1 3b hb ug wp,2,1,0,R2-3B-5
3,3B,r1 3b sw 0.5,None,1,0,65,R2-3B-0
3,3B,r1 3b sw 0.5,None,2,0,150,R2-3B-0
3,3B,r1 3b sw 0.5,r1 3b sw 1.15,1,1,0,R2-3B-3
3,3B,r1 3b sw 0.5,r1 3b sw 1.15,2,1,85,R2-3B-0
3,3B,r1 3b sw 0.5,r1 3b sw 2,1,2,0,R2-3B-3
3,3B,r1 3b sw 0.5,r1 3b sw 2,2,2,0,R2-3B-3
3,3B,r1 3b ar ug sr 1.15,r1 3b ar ug sr 2,1,2,0,R2-3B-3
3,3B,r1 3b ar ug sr 1.15,r1 3b ar ug sr 2,2,2,0,R2-3B-3
3,3B,r1 3b sw 0.5,r1 3b sw ug wp,1,1,65,R2-3B-7
3,3B,r1 3b sw 0.5,r1 3b sw ug wp,2,1,150,R2-3B-7
3,3B,r1 3b sw 1.15,None,1,0,0,R2-3B-3
3,3B,r1 3b sw 1.15,None,2,0,85,R2-3B-0
3,3B,r1 3b sw 1.15,r1 3b sw 2,1,1,0,R2-3B-3
3,3B,r1 3b sw 1.15,r1 3b sw 2,2,1,0,R2-3B-3
3,3B,r1 3b sw 1.15,r1 3b sw ug wp,1,1,0,R2-3B-8
3,3B,r1 3b sw 1.15,r1 3b sw ug wp,2,1,85,R2-3B-7
3,3B,r1 3b sw 2,None,1,0,0,R2-3B-9
3,3B,r1 3b sw 2,None,2,0,0,R2-3B-9
3,3B,r1 3b sw 2,r1 3b sw ug wp,1,1,0,R2-3B-8
3,3B,r1 3b sw 2,r1 3b sw ug wp,2,1,0,R2-3B-8
